ProfileID,MeastID,U-Sensor,GapPresentBits_Gap3233toGap0001,meast_idx
283886,231,10.525,000000000111111111111111000000000,230
283887,232,10.589,000000000111111111111111000000000,231
283888,233,10.652,000000000111111111111111000000000,232
283889,234,10.717,000000000111111111111111000000000,233
283890,235,10.78,000000000111111111111111000000000,234
283891,236,10.844,000000000111111111111111000000000,235
283892,237,10.908,000000000111111111111111000000000,236
283893,238,10.972,000000000111111111111111000000000,237
283894,239,11.035,000000000111111111111111000000000,238
283895,240,11.099,000000000111111111111111000000000,239
283896,241,11.162,000000000111111111111111000000000,240
283897,242,11.226,000000000111111111111111000000000,241
283898,243,11.289,000000000111111111111111000000000,242
283899,244,11.353,000000000111111111111111000000000,243
283900,245,11.417,000000000111111111111111000000000,244
283901,246,11.48,000000000111111111111111000000000,245
283902,247,11.544,000000000111111111111111000000000,246
283903,248,11.608,000000000111111111111111000000000,247
283904,249,11.671,000000000111111111111111000000000,248
283905,250,11.735,000000000111111111111111000000000,249
283906,251,11.798,000000000111111111111111000000000,250
283907,252,11.861,000000000111111111111111000000000,251
283908,253,11.925,000000000111111111111111000000000,252
283909,254,11.989,000000000111111111111111000000000,253
283941,286,14.025,000000000111111111111111000000000,285
283942,287,14.088,000000000111111111111111000000000,286
283943,288,14.152,000000000111111111111111000000000,287
283944,289,14.216,000000000111111111111111000000000,288
283945,290,14.28,000000000111111111111111000000000,289
283946,291,14.343,000000000111111111111111000000000,290
283947,292,14.407,000000000111111111111111000000000,291
283948,293,14.47,000000000111111111111111000000000,292
283949,294,14.534,000000000111111111111111000000000,293
283950,295,14.597,000000000111111111111111000000000,294
283951,296,14.661,000000000111111111111111000000000,295
283952,297,14.725,000000000111111111111111000000000,296
283953,298,14.789,000000000111111111111111000000000,297
283954,299,14.852,000000000111111111111111000000000,298
283955,300,14.917,000000000111111111111111000000000,299
283956,301,14.98,000000000111111111111111000000000,300
283957,302,15.043,000000000111111111111111000000000,301
283958,303,15.107,000000000111111111111111000000000,302
283959,304,15.17,000000000111111111111111000000000,303
283960,305,15.234,000000000111111111111111000000000,304
283961,306,15.297,000000000111111111111111000000000,305
283962,307,15.361,000000000111111111111111000000000,306
283963,308,15.425,000000000111111111111111000000000,307
283964,309,15.488,000000000111111111111111000000000,308
283965,310,15.552,000000000111111111111111000000000,309
283966,311,15.616,000000000111111111111111000000000,310
283967,312,15.68,000000000111111111111111000000000,311
283968,313,15.744,000000000111111111111111000000000,312
283969,314,15.807,000000000111111111111111000000000,313
283970,315,15.871,000000000111111111111111000000000,314
283971,316,15.934,000000000111111111111111000000000,315
283972,317,15.998,000000000111111111111111000000000,316
283973,318,16.062,000000000111111111111111000000000,317
283974,319,16.125,000000000111111111111111000000000,318
283975,320,16.189,000000000111111111111111000000000,319
283976,321,16.252,000000000111111111111111000000000,320
283977,322,16.316,000000000111111111111111000000000,321
283978,323,16.38,000000000111111111111111000000000,322
283979,324,16.443,000000000111111111111111000000000,323
283980,325,16.507,000000000111111111111111000000000,324
283981,326,16.57,000000000111111111111111000000000,325
283982,327,16.634,000000000111111111111111000000000,326
283983,328,16.697,000000000111111111111111000000000,327
283984,329,16.761,000000000111111111111111000000000,328
283985,330,16.825,000000000111111111111111000000000,329
283986,331,16.888,000000000111111111111111000000000,330
283987,332,16.952,000000000111111111111111000000000,331
283988,333,17.016,000000000111111111111111000000000,332
283989,334,17.079,000000000111111111111111000000000,333
283990,335,17.143,000000000111111111111111000000000,334
283991,336,17.206,000000000111111111111111000000000,335
283992,337,17.27,000000000111111111111111000000000,336
283993,338,17.334,000000000111111111111111000000000,337
283994,339,17.397,000000000111111111111111000000000,338
283995,340,17.461,000000000111111111111111000000000,339
283996,341,17.525,000000000111111111111111000000000,340
283997,342,17.589,000000000111111111111111000000000,341
283998,343,17.653,000000000111111111111111000000000,342
283999,344,17.716,000000000111111111111111000000000,343
284000,345,17.78,000000000111111111111111000000000,344
284001,346,17.844,000000000111111111111111000000000,345
284002,347,17.907,000000000111111111111111000000000,346
284003,348,17.971,000000000111111111111111000000000,347
284004,349,18.035,000000000111111111111111000000000,348
284005,350,18.098,000000000111111111111111000000000,349
284006,351,18.161,000000000111111111111111000000000,350
284007,352,18.225,000000000111111111111111000000000,351
284008,353,18.288,000000000111111111111111000000000,352
284009,354,18.353,000000000111111111111111000000000,353
284010,355,18.416,000000000111111111111111000000000,354
284011,356,18.48,000000000111111111111111000000000,355
284012,357,18.543,000000000111111111111111000000000,356
284013,358,18.607,000000000111111111111111000000000,357
284014,359,18.67,000000000111111111111111000000000,358
284015,360,18.734,000000000111111111111111000000000,359
284016,361,18.797,000000000111111111111111000000000,360
