MeastID,Ply,Course,U-Roller,U-Sensor,U-TowChangeProgramed,TowPresentBitmap,GapPresentBitmap,ProfileID,Notes,X,Y,Z,C,n1,n2,n3,j1,j2,j3,j4,j5,j6
53,3,26,1.1030828,-0.335,0,0,0,283708,,6.434,-21.967,124.703,0,1,0,0,0,0,0,0,0,0
54,3,26,1.1363048,-0.302,0,0,0,283709,,6.434,-21.967,124.67,0,1,0,0,0,0,0,0,0,0
55,3,26,1.1705219,-0.267,0,0,0,283710,,6.434,-21.967,124.635,0,1,0,0,0,0,0,0,0,0
56,3,26,1.2058035,-0.232,0,0,0,283711,,6.434,-21.967,124.6,0,1,0,0,0,0,0,0,0,0
57,3,26,1.2416415,-0.196,0,0,0,283712,,6.434,-21.967,124.564,0,1,0,0,0,0,0,0,0,0
58,3,26,1.2774205,-0.161,0,0,0,283713,,6.434,-21.967,124.529,0,1,0,0,0,0,0,0,0,0
59,3,26,1.3149735,-0.123,0,0,0,283714,,6.434,-21.967,124.491,0,1,0,0,0,0,0,0,0,0
60,3,26,1.3534678,-0.085,0,0,0,283715,,6.434,-21.967,124.453,0,1,0,0,0,0,0,0,0,0
61,3,26,1.39286,-0.045,0,0,0,283716,,6.434,-21.967,124.413,0,1,0,0,0,0,0,0,0,0
62,3,26,1.4332096,-0.005,0,0,0,283717,,6.434,-21.967,124.373,0,1,0,0,0,0,0,0,0,0
63,3,26,1.4743608,0.036,0,16776960,16776704,283718,,6.434,-21.967,124.332,0,1,0,0,0,0,0,0,0,0
64,3,26,1.5176148,0.08,0,16776960,16776704,283719,,6.434,-21.967,124.288,0,1,0,0,0,0,0,0,0,0
65,3,26,1.5617536,0.124,0,16776960,16776704,283720,,6.434,-21.967,124.244,0,1,0,0,0,0,0,0,0,0
66,3,26,1.6067348,0.169,0,16776960,16776704,283721,,6.434,-21.967,124.199,0,1,0,0,0,0,0,0,0,0
67,3,26,1.652852,0.215,0,16776960,16776704,283722,,6.434,-21.967,124.153,0,1,0,0,0,0,0,0,0,0
68,3,26,1.700465,0.262,0,16776960,16776704,283723,,6.434,-21.967,124.106,0,1,0,0,0,0,0,0,0,0
69,3,26,1.749445,0.311,0,16776960,16776704,283724,,6.434,-21.967,124.057,0,1,0,0,0,0,0,0,0,0
