ProfileID,MeastID,U-Sensor,U-TowChangeProgramed,TowPresentBits_Tow32toTow01,meast_idx,t32d,t31d,t30d,t29d,t28d,t27d,t26d,t25d,t24d,t23d,t22d,t21d,t20d,t19d,t18d,t17d,t16d,t15d,t14d,t13d,t12d,t11d,t10d,t09d,t08d,t07d,t06d,t05d,t04d,t03d,t02d,t01d
284105,450,24.46,24.435,00000000000011111111111100000000,449,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284107,452,24.587,24.56,00000000000111111111111100000000,451,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284109,454,24.714,24.685,00000000001111111111111100000000,453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284111,456,24.842,24.81,00000000011111111111111100000000,455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284113,458,24.969,24.936,00000000111111111111111100000000,457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284163,508,28.152,28.121,00000000111111111111111000000000,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
284167,512,28.405,28.371,00000000111111111111110000000000,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
284171,516,28.66,28.621,00000000111111111111100000000000,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
284175,520,28.915,28.871,00000000111111111111000000000000,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
284179,524,29.169,29.121,00000000111111111110000000000000,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
284183,528,29.424,29.371,00000000111111111100000000000000,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
284187,532,29.679,29.621,00000000111111111000000000000000,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284191,536,29.933,29.871,00000000111111110000000000000000,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284194,539,30.124,30.121,00000000111111100000000000000000,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284198,543,30.379,30.371,00000000111111000000000000000000,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
